Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Sugar_From_Other,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax_,Gov_Subsidies_,Education_Campaign_,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield,Gov_Tax,Gov_Subsidies,Education_Campaign
France,1972,FRA,Europe,Western Europe,261730647.2,8692.631696,12.82774061,3357412.853,68.42296334,38.60038403,42.97075971,-49.99410709,171.9661817,35.14800928,11.49511072,34.09401744,5401669.796,2358929.271,3.864019768,0,0,0,34.50339772,3,52.43397167,0,0,0
Australia,2003,AUS,Oceania,Australia & New Zealand,173796468.3,6859.19596,21.3626319,3712749.978,55.43256398,38.46362033,16.22368147,-10.11986578,229.2380216,58.5336114,6.517478599,16.0401182,3418789.556,9694348.044,3.282100674,0,0,0,31.78306684,4,58.38205467,0,0,0
Germany,1963,DEU,Europe,Western Europe,123636586.3,22075.95058,32.0774849,3965950.731,86.46612027,10.00141583,51.72063123,-48.18816733,203.2632521,87.89230862,8.252688066,14.40574093,8987281.133,5451632.228,1.097686899,0,0,0,51.55134462,1,32.1847347,0,0,0
France,1965,FRA,Europe,Western Europe,298996149.6,3728.027392,47.64892956,14246846.47,69.80670677,34.00517305,43.57377408,-47.3856539,34.17728337,130.558067,10.99790516,38.49927088,5179004.207,8048500.024,2.761297444,0,0,0,80.38628077,2,84.29601872,0,0,0
Germany,2010,DEU,Europe,Western Europe,7341531.439,40420.97396,23.21434282,170428.8276,63.77227768,23.10592402,53.5435952,-40.4217969,78.73348153,63.60729933,14.89387946,36.19097727,6463438.821,7062910.412,4.219430675,0,0,1,49.70115259,3,66.11081524,0,0,1
South Africa,1997,ZAF,Africa,Sub-Saharan Africa,91997984.18,45446.25691,66.7994983,6145419.187,53.8973089,29.01700423,59.07553783,-41.98985096,209.4626318,183.0306253,14.89122456,14.447757,2178783.364,8683157.889,1.169493976,0,0,0,77.15051455,1,98.63537945,0,0,0
India,1965,IND,Asia,South Asia,84323272.64,12795.51187,19.31411487,1628629.374,68.33073188,32.16264494,20.46089911,-20.95427594,163.2113368,52.92067475,11.98603623,10.97573042,2667298.786,8357259.587,0.560822371,0,0,0,81.81766311,4,30.2416319,0,0,0
Mexico,1970,MEX,North America,Central America,107504875.8,24532.73296,55.62894785,5980383.13,80.78691076,9.358697824,30.24378652,-20.38939511,18.94679161,152.4233171,8.878717936,19.81090509,9314142.647,600849.9999,1.096579298,0,0,0,83.70253687,5,54.96245125,0,0,0
Mexico,1986,MEX,North America,Central America,69948126.61,26193.62169,28.69892283,2007435.887,78.68737374,32.96403732,24.22657091,-35.87798197,224.1226392,78.63504855,12.96521488,22.68965811,531519.0869,2956299.228,1.332353612,0,1,0,45.86235555,5,69.93221264,0,1,0
Russia,2013,RUS,Europe,Eastern Europe,80014587.79,49257.56021,59.171057,4734547.735,69.86350601,15.59779593,4.655655185,9.883042874,33.03497424,162.1286962,5.698874379,10.89145434,3410436.531,5576824.318,3.344755167,0,0,1,63.1925289,4,37.7334812,0,0,1
Mexico,2005,MEX,North America,Central America,78045455.87,3748.16913,65.00187127,5073100.676,78.78141384,30.63294082,24.29819076,-33.71254542,63.60024071,178.1051273,13.99415288,5.857774804,4956976.388,8327869.937,2.017999521,0,1,0,24.33316166,3,49.81701059,0,1,0
France,2021,FRA,Europe,Western Europe,152217471.2,33560.1772,17.1560115,2611444.686,64.03042274,25.07805828,26.62782453,-15.73630554,272.2982892,47.0074715,8.572880962,33.64656525,3336239.075,8761326.508,0.971460001,0,0,,60.98717379,2,42.2851037,0,0,0
